rowid,link_id,group_name
1,1,Background
2,1,Foreground
3,2,Background
4,2,Foreground
5,3,Background
6,3,Text_Format
7,3,Overrides
8,3,Foreground
9,4,Background
10,4,Foreground
11,5,Background
12,5,Foreground
13,6,Background
14,6,Text_Format
15,6,Overrides
16,6,Foreground
17,7,Background
18,7,Text_Format
19,7,Overrides
20,7,Foreground
21,8,Background
22,8,Foreground
23,9,Background
24,9,Foreground
25,10,Background
26,10,Text_Format
27,10,Text_Style_203
28,10,Overrides
29,10,Foreground
30,11,Background
31,11,Foreground
32,12,Background
33,12,Foreground
34,13,Background
35,13,Text_Format
36,13,Overrides
37,13,Foreground
38,14,Background
39,14,Text_Format
40,14,Overrides
41,14,Foreground
42,15,Background
43,15,Text_Format
44,15,Overrides
45,15,Foreground
46,18,Text_Format
47,18,Overrides
48,19,Text_Format
49,19,Overrides
50,20,Overrides
51,20,Text_Format
52,20,Element
53,23,Text_Format
54,23,Overrides
55,24,Text_Format
56,24,Overrides
